yy,mm,lat5,lon5,cwp_grid,days,skj_c,yft_c,oth_c
1950,6,"20N","150E","61200015000",50,188.020,6.699,0.000
1950,6,"20N","155E","61200015500",0,0.000,0.000,0.000
1950,6,"20N","160E","61200016000",0,0.000,0.000,0.000
1950,6,"25N","125E","61250012500",0,0.000,0.000,0.000
1950,6,"25N","130E","61250013000",0,0.000,0.000,0.000
1950,6,"25N","135E","61250013500",0,0.000,0.000,0.000
1950,6,"25N","140E","61250014000",0,0.000,0.000,0.000
1950,6,"25N","145E","61250014500",0,0.000,0.000,0.000
1950,6,"25N","150E","61250015000",0,0.000,0.000,0.000
1950,6,"25N","155E","61250015500",0,0.000,0.000,0.000
1950,6,"25N","160E","61250016000",0,0.000,0.000,0.000
1950,6,"30N","125E","61300012500",0,0.000,0.000,0.000
1950,6,"30N","130E","61300013000",0,0.000,0.000,0.000
1950,6,"30N","135E","61300013500",0,0.000,0.000,0.000
1950,6,"30N","140E","61300014000",79,176.363,3.644,0.000
1950,6,"30N","145E","61300014500",183,566.088,22.799,0.000
1950,6,"30N","150E","61300015000",235,823.107,50.298,0.000
1950,6,"30N","155E","61300015500",269,1387.045,44.775,0.000
1950,6,"30N","160E","61300016000",0,0.000,0.000,0.000
1950,6,"35N","140E","61350014000",0,0.000,0.000,0.000
1950,6,"35N","145E","61350014500",154,807.843,0.118,0.000
1950,6,"35N","150E","61350015000",187,1364.492,30.554,0.000
1950,6,"35N","155E","61350015500",83,426.782,55.822,0.000
1950,6,"35N","160E","61350016000",0,0.000,0.000,0.000
1950,6,"40N","145E","61400014500",0,0.000,0.000,0.000
1950,6,"40N","150E","61400015000",0,0.000,0.000,0.000
1950,6,"40N","155E","61400015500",0,0.000,0.000,0.000
1950,7,"20N","120E","61200012000",0,0.000,0.000,0.000
1950,7,"20N","125E","61200012500",0,0.000,0.000,0.000
1950,7,"20N","135E","61200013500",0,0.000,0.000,0.000
1950,7,"20N","140E","61200014000",85,328.996,9.755,0.000
1950,7,"20N","145E","61200014500",115,548.203,11.868,0.000
1950,7,"20N","150E","61200015000",111,441.715,2.821,0.000
1950,7,"20N","155E","61200015500",78,277.899,4.584,0.000
1950,7,"20N","160E","61200016000",0,0.000,0.000,0.000
1950,7,"25N","120E","61250012000",0,0.000,0.000,0.000
1950,7,"25N","125E","61250012500",0,0.000,0.000,0.000
1950,7,"25N","130E","61250013000",0,0.000,0.000,0.000
1950,7,"25N","135E","61250013500",0,0.000,0.000,0.000
1950,7,"25N","140E","61250014000",0,0.000,0.000,0.000
1950,7,"25N","145E","61250014500",0,0.000,0.000,0.000
1950,7,"25N","150E","61250015000",0,0.000,0.000,0.000
1950,7,"25N","155E","61250015500",0,0.000,0.000,0.000
1950,7,"25N","160E","61250016000",0,0.000,0.000,0.000
1950,7,"30N","125E","61300012500",0,0.000,0.000,0.000
1950,7,"30N","130E","61300013000",0,0.000,0.000,0.000
1950,7,"30N","135E","61300013500",0,0.000,0.000,0.000
1950,7,"30N","140E","61300014000",0,0.000,0.000,0.000
1950,7,"30N","145E","61300014500",0,0.000,0.000,0.000
1950,7,"30N","150E","61300015000",97,469.789,16.570,0.000
1950,7,"30N","155E","61300015500",54,160.724,9.755,0.000
1950,7,"30N","160E","61300016000",0,0.000,0.000,0.000
1950,7,"35N","135E","61350013500",0,0.000,0.000,0.000
1950,7,"35N","140E","61350014000",0,0.000,0.000,0.000
1950,7,"35N","145E","61350014500",269,1602.262,3.057,0.000
1950,7,"35N","150E","61350015000",640,3618.777,6.934,0.000
1950,7,"35N","155E","61350015500",380,2328.056,0.353,0.000
1950,7,"35N","160E","61350016000",0,0.000,0.000,0.000
1950,7,"40N","140E","61400014000",0,0.000,0.000,0.000
1950,7,"40N","145E","61400014500",0,0.000,0.000,0.000
1950,7,"40N","150E","61400015000",57,137.393,1.293,0.000
1950,7,"40N","155E","61400015500",0,0.000,0.000,0.000
1950,7,"40N","160E","61400016000",0,0.000,0.000,0.000
1950,8,"20N","120E","61200012000",0,0.000,0.000,0.000
1950,8,"20N","125E","61200012500",0,0.000,0.000,0.000
1950,8,"20N","135E","61200013500",0,0.000,0.000,0.000
1950,8,"20N","140E","61200014000",50,159.379,6.112,0.000
1950,8,"20N","145E","61200014500",0,0.000,0.000,0.000
1950,8,"20N","150E","61200015000",0,0.000,0.000,0.000
1950,8,"20N","155E","61200015500",0,0.000,0.000,0.000
1950,8,"20N","160E","61200016000",0,0.000,0.000,0.000
1950,8,"25N","120E","61250012000",0,0.000,0.000,0.000
1950,8,"25N","125E","61250012500",0,0.000,0.000,0.000
1950,8,"25N","135E","61250013500",0,0.000,0.000,0.000
1950,8,"25N","140E","61250014000",0,0.000,0.000,0.000
1950,8,"25N","145E","61250014500",0,0.000,0.000,0.000
