year,month,lat,lon,lat5c,lon5c,hhooks,cpue_yft,cpue_bet,cpue_alb,cpue_total,sst,ssh,mld,current_speed,sst_gradient_max,ssh_variance,front_strength,chl,do_surface,season_sin,season_cos
2010,1,-5.000000,130.000000,-2.500000,132.500000,11258.060000,17.206162,2.501941,0.000000,19.708102,29.181806,0.587649,24.892410,0.182554,132.447592,0.029600,0.215143,0.138781,198.355621,0.500000,0.866025
2010,1,-5.000000,145.000000,-2.500000,147.500000,1233.480000,6.054415,0.000000,0.000000,6.054415,28.983738,0.606314,22.075013,0.250526,124.082822,0.017228,0.048474,0.214090,199.949463,0.500000,0.866025
2010,1,-5.000000,-155.000000,-2.500000,-152.500000,6505.300000,4.947504,16.197716,0.056262,21.201482,,,,,,,,,,0.500000,0.866025
2010,1,-5.000000,160.000000,-2.500000,162.500000,2391.440000,11.784950,7.471649,3.715753,22.972351,29.725250,0.672082,22.441194,0.187395,0.354922,0.010215,0.000000,0.151026,198.676743,0.500000,0.866025
2010,1,-5.000000,-160.000000,-2.500000,-157.500000,3587.980000,3.872374,22.536915,0.032888,26.442176,,,,,,,,,,0.500000,0.866025
2010,1,-5.000000,165.000000,-2.500000,167.500000,2120.780000,16.340686,12.378936,2.496723,31.216345,29.755199,0.682865,23.988864,0.124024,0.547133,0.013106,0.000000,0.117886,197.615784,0.500000,0.866025
2010,1,-5.000000,-165.000000,-2.500000,-162.500000,1554.200000,9.298675,18.074250,0.966414,28.339339,,,,,,,,,,0.500000,0.866025
2010,1,-5.000000,170.000000,-2.500000,172.500000,2684.440000,9.222780,14.815380,0.926078,24.964238,29.964372,0.681602,24.637276,0.149951,133.176414,0.015279,0.009476,0.117679,197.991486,0.500000,0.866025
2010,1,-5.000000,-170.000000,-2.500000,-167.500000,4217.320000,5.837356,24.983165,2.756727,33.577248,,,,,,,,,,0.500000,0.866025
2010,1,-5.000000,175.000000,-2.500000,177.500000,11624.190000,6.459375,26.174985,0.367854,33.002213,30.109393,0.677433,24.507518,0.160765,94.482876,0.017021,0.001668,0.116691,197.840118,0.500000,0.866025
2010,1,-5.000000,-175.000000,-2.500000,-172.500000,7047.700000,10.101593,21.888134,0.984435,32.974162,,,,,,,,,,0.500000,0.866025
2010,1,-5.000000,-180.000000,-2.500000,-177.500000,7326.500000,5.924521,26.102368,1.051798,33.078687,,,,,,,,,,0.500000,0.866025
2010,1,10.000000,110.000000,12.500000,112.500000,13611.040000,14.560827,3.736232,0.000000,18.297059,26.614648,0.673855,27.276131,0.174704,1.039101,0.050542,0.040833,0.082755,208.223892,0.500000,0.866025
2010,1,10.000000,115.000000,12.500000,117.500000,15663.460000,13.472630,3.349643,0.000000,16.822273,27.232762,0.667675,27.994672,0.138344,122.760393,0.036078,0.114075,0.114003,206.458618,0.500000,0.866025
2010,1,10.000000,155.000000,12.500000,157.500000,1926.520000,6.717812,4.275585,0.534643,11.528040,27.652878,0.711359,68.543092,0.283586,0.377187,0.091216,0.000000,0.083248,202.476959,0.500000,0.866025
2010,1,10.000000,175.000000,12.500000,177.500000,1644.400000,2.929336,2.288981,0.382510,5.600827,27.131011,0.591231,53.416634,0.201222,0.674366,0.051024,0.000000,0.061965,204.721634,0.500000,0.866025
2010,1,-10.000000,-135.000000,-7.500000,-132.500000,3733.250000,9.021898,31.389004,0.403402,40.814304,,,,,,,,,,0.500000,0.866025
2010,1,-10.000000,-140.000000,-7.500000,-137.500000,3488.920000,5.785745,19.903867,0.000000,25.689612,,,,,,,,,,0.500000,0.866025
2010,1,-10.000000,150.000000,-7.500000,152.500000,2433.290000,22.186833,1.040977,0.321376,23.549186,29.354272,0.607909,14.022135,0.230595,131.819330,0.053591,0.097151,0.101775,198.294830,0.500000,0.866025
2010,1,-10.000000,-150.000000,-7.500000,-147.500000,3236.990000,5.270946,26.043948,0.090516,31.405411,,,,,,,,,,0.500000,0.866025
2010,1,-10.000000,155.000000,-7.500000,157.500000,7821.720000,12.503644,1.794746,0.150095,14.448484,29.643146,0.601191,15.437749,0.180221,133.902287,0.020294,0.101962,0.129869,198.396896,0.500000,0.866025
2010,1,-10.000000,-155.000000,-7.500000,-152.500000,3078.890000,5.709200,25.268197,0.068206,31.045604,,,,,,,,,,0.500000,0.866025
2010,1,-10.000000,160.000000,-7.500000,162.500000,5111.540000,18.173975,6.221804,0.715831,25.111610,29.893366,0.631809,14.829400,0.170546,134.022821,0.036604,0.033400,0.139070,197.738235,0.500000,0.866025
2010,1,-10.000000,-160.000000,-7.500000,-157.500000,4742.760000,4.159392,25.788360,0.058194,30.005946,,,,,,,,,,0.500000,0.866025
2010,1,-10.000000,165.000000,-7.500000,167.500000,5799.970000,20.454761,7.956076,3.902951,32.313788,30.052081,0.697377,15.579573,0.122830,0.346142,0.033412,0.000000,0.106510,197.042709,0.500000,0.866025
2010,1,-10.000000,-165.000000,-7.500000,-162.500000,1134.370000,3.573790,23.089468,0.389644,27.052902,,,,,,,,,,0.500000,0.866025
2010,1,-10.000000,170.000000,-7.500000,172.500000,1052.790000,17.228507,10.884412,1.042943,29.155862,30.207777,0.725990,16.778950,0.114272,0.328045,0.019252,0.000000,0.100944,196.558731,0.500000,0.866025
2010,1,-10.000000,-170.000000,-7.500000,-167.500000,4301.890000,1.405196,26.845642,1.206446,29.457285,,,,,,,,,,0.500000,0.866025
2010,1,-10.000000,175.000000,-7.500000,177.500000,2279.180000,6.031555,5.275582,18.966909,30.274046,30.385576,0.717566,17.040604,0.118531,0.706414,0.022842,0.000278,0.107736,196.921722,0.500000,0.866025
2010,1,-10.000000,-175.000000,-7.500000,-172.500000,1587.000000,2.045999,23.877127,0.606805,26.529931,,,,,,,,,,0.500000,0.866025
2010,1,-10.000000,-180.000000,-7.500000,-177.500000,3015.970000,3.828287,25.521474,0.458559,29.808320,,,,,,,,,,0.500000,0.866025
2010,1,15.000000,110.000000,17.500000,112.500000,20636.820000,19.640817,2.592454,0.302905,22.536176,24.728120,0.637294,34.694802,0.141011,103.835963,0.051823,0.301702,0.171294,214.620911,0.500000,0.866025
2010,1,15.000000,115.000000,17.500000,117.500000,29078.830000,16.850162,2.005101,0.087589,18.942853,25.165008,0.532379,28.231620,0.158335,119.187444,0.050099,0.287187,0.102357,211.680191,0.500000,0.866025
2010,1,15.000000,125.000000,17.500000,127.500000,6613.450000,13.405560,9.308001,33.269171,55.982732,26.082726,0.895175,70.947103,0.189206,1.989793,0.050053,0.091389,0.070726,206.723587,0.500000,0.866025
2010,1,15.000000,130.000000,17.500000,132.500000,4551.730000,11.605917,2.901974,13.879338,28.387229,26.369624,0.848413,71.583456,0.180668,1.760801,0.053935,0.104167,0.067621,205.108398,0.500000,0.866025
2010,1,15.000000,135.000000,17.500000,137.500000,1454.440000,6.665108,3.356618,22.324744,32.346470,26.866730,0.896942,69.370907,0.193416,4.096836,0.084819,0.164722,0.068698,203.631256,0.500000,0.866025
2010,1,15.000000,140.000000,17.500000,142.500000,1304.740000,5.190306,0.000000,1.192575,6.382881,27.110839,0.885486,68.887994,0.121091,3.481153,0.034130,0.138333,0.067277,202.977005,0.500000,0.866025
2010,1,15.000000,160.000000,17.500000,162.500000,1160.130000,2.085973,0.862834,13.039056,15.987863,27.276078,0.887346,85.013085,0.139245,1.106736,0.040420,0.031111,0.053442,203.455505,0.500000,0.866025
2010,1,15.000000,-160.000000,17.500000,-157.500000,1322.630000,2.479907,7.531207,0.068802,10.079917,,,,,,,,,,0.500000,0.866025
2010,1,15.000000,-165.000000,17.500000,-162.500000,1351.590000,3.748918,9.337891,0.315184,13.401993,,,,,,,,,,0.500000,0.866025
2010,1,-15.000000,-135.000000,-12.500000,-132.500000,12366.870000,2.413222,9.200307,17.420253,29.033781,,,,,,,,,,0.500000,0.866025
2010,1,-15.000000,-145.000000,-12.500000,-142.500000,3259.470000,2.415117,1.946942,17.700730,22.062789,,,,,,,,,,0.500000,0.866025
2010,1,-15.000000,150.000000,-12.500000,152.500000,3122.120000,22.519634,1.198545,1.068505,24.786683,29.145609,0.793109,14.861791,0.147078,130.311932,0.061362,0.041220,0.092174,198.489395,0.500000,0.866025
2010,1,-15.000000,-150.000000,-12.500000,-147.500000,2454.910000,2.605391,3.819692,10.978814,17.403897,,,,,,,,,,0.500000,0.866025
2010,1,-15.000000,155.000000,-12.500000,157.500000,6372.040000,8.823077,2.319822,21.247983,32.390883,29.113028,0.697508,14.864295,0.199821,0.969376,0.109009,0.002222,0.089634,198.562683,0.500000,0.866025
2010,1,-15.000000,160.000000,-12.500000,162.500000,18220.670000,8.660988,1.699883,18.742834,29.103705,29.376340,0.704550,14.265323,0.164791,134.015298,0.075218,0.036829,0.081159,198.506577,0.500000,0.866025
2010,1,-15.000000,-160.000000,-12.500000,-157.500000,5355.500000,0.826627,0.698347,17.108020,18.632994,,,,,,,,,,0.500000,0.866025
2010,1,-15.000000,165.000000,-12.500000,167.500000,4752.920000,7.389563,2.237782,18.003038,27.630383,29.526908,0.682911,13.980025,0.111758,127.974598,0.037736,0.016471,0.069357,197.776215,0.500000,0.866025
2010,1,-15.000000,-165.000000,-12.500000,-162.500000,2583.810000,0.760892,1.561260,26.553423,28.875575,,,,,,,,,,0.500000,0.866025
2010,1,-15.000000,170.000000,-12.500000,172.500000,15671.530000,0.831061,0.348913,26.049020,27.228994,29.547874,0.695381,13.865619,0.130966,0.800512,0.038618,0.012222,0.078051,197.560410,0.500000,0.866025
2010,1,-15.000000,-170.000000,-12.500000,-167.500000,4415.570000,2.070401,1.175613,19.832094,23.078108,,,,,,,,,,0.500000,0.866025
2010,1,-15.000000,175.000000,-12.500000,177.500000,5625.020000,1.601417,1.445862,27.509058,30.556336,29.363157,0.667716,13.838746,0.119988,0.879598,0.031994,0.002222,0.089010,197.813614,0.500000,0.866025
2010,1,-15.000000,-175.000000,-12.500000,-172.500000,9220.410000,2.348377,0.830657,23.241483,26.420517,,,,,,,,,,0.500000,0.866025
2010,1,20.000000,115.000000,22.500000,117.500000,1172.440000,6.457473,0.504077,0.168879,7.130429,21.988626,0.619284,41.139422,0.187742,98.528181,0.068341,0.642090,0.536842,219.457138,0.500000,0.866025
2010,1,20.000000,120.000000,22.500000,122.500000,2143.520000,5.498432,2.847652,1.438755,9.784840,23.997308,0.782507,62.496824,0.291448,110.040641,0.132301,0.442453,0.273268,213.188171,0.500000,0.866025
2010,1,20.000000,125.000000,22.500000,127.500000,2088.530000,7.070044,5.767693,23.374814,36.212551,23.901660,0.994114,78.159662,0.168370,73.146899,0.086148,0.253474,0.149004,215.863922,0.500000,0.866025
2010,1,20.000000,130.000000,22.500000,132.500000,5626.030000,6.453396,3.846407,31.572708,41.872510,24.170444,0.998212,78.121623,0.190138,3.073911,0.070968,0.343611,0.089745,214.055359,0.500000,0.866025
2010,1,20.000000,135.000000,22.500000,137.500000,8593.040000,6.627340,4.543444,43.919032,55.089817,24.316280,0.922341,69.961101,0.126664,2.947687,0.053867,0.488889,0.093453,212.181900,0.500000,0.866025
2010,1,20.000000,140.000000,22.500000,142.500000,3762.450000,9.795745,8.748023,34.008957,52.552725,25.401139,0.959724,74.037195,0.153907,45.593440,0.064705,0.289525,0.069228,210.084000,0.500000,0.866025
2010,1,20.000000,145.000000,22.500000,147.500000,4979.610000,2.558835,6.365358,21.338820,30.263013,25.929972,0.990783,78.226319,0.143286,2.968784,0.051286,0.273611,0.066737,208.999008,0.500000,0.866025
2010,1,20.000000,150.000000,22.500000,152.500000,3062.040000,3.200154,10.272890,43.373699,56.846743,25.733075,0.922295,68.338788,0.126659,2.417830,0.062036,0.370833,0.063277,209.033493,0.500000,0.866025
2010,1,20.000000,155.000000,22.500000,157.500000,3739.370000,1.319206,7.065896,17.013294,25.398396,25.824789,0.885607,65.003496,0.115343,2.829228,0.080632,0.362500,0.060654,207.968109,0.500000,0.866025
2010,1,20.000000,-155.000000,22.500000,-152.500000,3386.080000,0.458642,9.070370,0.047843,9.576856,,,,,,,,,,0.500000,0.866025
2010,1,20.000000,160.000000,22.500000,162.500000,1589.140000,1.907321,3.857432,10.827869,16.592622,25.954755,0.860840,68.418560,0.150507,2.543112,0.058364,0.210556,0.060906,207.777649,0.500000,0.866025
2010,1,20.000000,-160.000000,22.500000,-157.500000,5584.530000,0.678123,10.308477,0.189094,11.175694,,,,,,,,,,0.500000,0.866025
2010,1,20.000000,-165.000000,22.500000,-162.500000,1257.900000,1.985849,10.399873,0.936481,13.322204,,,,,,,,,,0.500000,0.866025
2010,1,20.000000,170.000000,22.500000,172.500000,1701.980000,1.245021,2.168651,1.124573,4.538244,25.448819,0.816072,78.795108,0.101986,2.641715,0.040008,0.195000,0.063337,208.584122,0.500000,0.866025
2010,1,-20.000000,-135.000000,-17.500000,-132.500000,9331.800000,0.856319,5.337020,38.241497,44.434836,,,,,,,,,,0.500000,0.866025
2010,1,-20.000000,-145.000000,-17.500000,-142.500000,3185.130000,2.155014,2.096932,18.142117,22.394062,,,,,,,,,,0.500000,0.866025
2010,1,-20.000000,150.000000,-17.500000,152.500000,1350.890000,11.610864,3.303748,28.955725,43.870337,28.471716,0.850295,19.426219,0.159400,1.701542,0.050070,0.097222,0.090513,201.419662,0.500000,0.866025
2010,1,-20.000000,-150.000000,-17.500000,-147.500000,2779.980000,1.830589,1.413679,12.032461,15.276729,,,,,,,,,,0.500000,0.866025
2010,1,-20.000000,155.000000,-17.500000,157.500000,9114.350000,4.114940,2.224843,56.294525,62.634307,27.967576,0.834449,16.617372,0.109505,1.635711,0.031463,0.059444,0.082620,202.368073,0.500000,0.866025
2010,1,-20.000000,160.000000,-17.500000,162.500000,9382.000000,7.063206,2.306331,37.056811,46.426348,27.849035,0.828972,16.983988,0.123701,54.030037,0.038153,0.059739,0.088817,203.417419,0.500000,0.866025
2010,1,-20.000000,-160.000000,-17.500000,-157.500000,1077.090000,0.671253,0.404794,18.642825,19.718872,,,,,,,,,,0.500000,0.866025
2010,1,-20.000000,165.000000,-17.500000,167.500000,12793.230000,4.709209,1.590685,24.499755,30.799650,27.798917,0.805163,15.440435,0.149562,127.520502,0.040407,0.090518,0.092551,203.401962,0.500000,0.866025
2010,1,-20.000000,170.000000,-17.500000,172.500000,10882.910000,1.896092,1.683190,24.259964,27.839245,27.940243,0.806101,15.265613,0.144697,1.404608,0.042820,0.100000,0.077994,203.392380,0.500000,0.866025
2010,1,-20.000000,-170.000000,-17.500000,-167.500000,5834.410000,1.485840,0.543157,19.652544,21.681541,,,,,,,,,,0.500000,0.866025
2010,1,-20.000000,175.000000,-17.500000,177.500000,7598.550000,6.652585,1.737568,11.784222,20.174375,27.982363,0.787956,15.322175,0.111592,128.714830,0.017208,0.176211,0.098553,203.671753,0.500000,0.866025
2010,1,-20.000000,-175.000000,-17.500000,-172.500000,4464.560000,1.633756,0.678678,19.654568,21.967002,,,,,,,,,,0.500000,0.866025
2010,1,-20.000000,-180.000000,-17.500000,-177.500000,10247.030000,6.471143,2.291493,14.455896,23.218533,,,,,,,,,,0.500000,0.866025
2010,1,25.000000,130.000000,27.500000,132.500000,6480.480000,9.055502,4.672030,37.157896,50.885428,21.410893,0.993391,115.214968,0.186824,43.741021,0.122291,0.417616,0.305727,219.961609,0.500000,0.866025
2010,1,25.000000,135.000000,27.500000,137.500000,6688.240000,3.245099,3.187984,30.468404,36.901487,21.462533,0.967303,107.443470,0.142960,3.872655,0.068160,0.501944,0.376583,220.645630,0.500000,0.866025
2010,1,25.000000,140.000000,27.500000,142.500000,6131.620000,2.226492,4.041509,68.443413,74.711414,21.711862,0.925059,91.204218,0.094623,43.834773,0.065200,0.404001,0.129281,222.169785,0.500000,0.866025
